batch,score,loss,loss_v
469,-44,-6.516556,477.5085
470,-36,-10.336765,466.42926
471,-42,-9.437389,508.55676
472,-50,-8.74473,533.9227
473,-36,-4.7052145,214.70996
474,-46,-6.4549527,526.8769
475,-50,-7.3457046,534.16455
476,-50,-9.76339,534.1676
477,-30,-8.365907,411.34668
478,-42,-7.7220397,508.06213
479,-10,0.26181403,36.049294
480,-44,-8.742786,518.97797
481,-30,-6.3268614,163.0395
482,-50,-13.525692,533.5432
483,-36,-4.6391907,207.13176
484,-46,-5.500027,526.7403
485,-30,-8.066141,411.20023
486,-6,1.6601939,52.705894
487,-50,-10.74596,533.4588
488,-50,-8.49655,533.3703
489,-50,-8.670257,533.27734
490,-50,-11.322392,533.1218
491,-50,-11.93217,533.24365
492,-34,-6.3152304,447.9933
493,-36,-4.3469753,241.77972
494,-50,-7.594857,532.93835
495,-36,-3.1756046,247.83696
496,-50,-7.8893642,533.5549
497,-50,-10.31974,532.6986
498,-36,-6.856552,360.91672
499,-50,-7.4415393,532.30334
500,-50,-8.808438,532.54877
501,-42,-5.4861336,364.77283
502,-44,-2.505371,516.8463
503,-50,-8.050513,531.8584
504,-50,-6.020245,532.05725
505,-38,-9.199656,479.79202
506,-38,-7.326456,348.3369
507,-42,-1.3708568,359.45276
508,-16,-3.535552,265.46732
509,-50,-7.6066813,531.8214
510,-50,-12.4302025,531.69025
511,-50,-5.892934,531.6438
512,-20,-2.696602,52.55788
513,-44,-8.444395,376.09726
514,-42,-5.6695685,505.7299
515,-44,-5.3941245,515.7527
516,-28,-4.0751653,129.90205
517,-40,-8.109379,308.74405
518,-30,-4.5220933,408.7593
519,-32,-2.1609912,161.9345
520,-44,-5.586129,515.30536
521,-38,-4.788314,238.59221
522,-50,-7.1837525,530.9021
523,-50,-6.0288587,530.11475
524,-36,-4.901792,219.34738
525,-42,-3.4751437,319.08118
526,-44,-8.151433,514.5546
527,-34,-3.1186917,207.27664
528,-34,-2.7251554,182.64148
529,-34,-7.9483056,445.5476
530,-44,-5.435576,515.22485
531,-40,-6.958271,312.97897
532,-50,-8.7353945,530.2768
533,-50,-5.88656,530.2739
534,-44,-3.9016352,514.37036
535,-50,-3.062063,530.13513
536,-34,-4.1932197,220.22275
537,-44,-3.9583614,514.20917
538,-50,-6.069054,529.74115
539,-50,-2.2607534,530.0878
540,-50,-7.354245,529.1554
541,-50,-7.9537807,529.53564
542,-50,-6.7248526,529.0539
543,-32,-3.3275228,426.88547
544,-18,-6.29227,284.14407
545,-46,-5.5381136,437.06058
546,-32,-4.1860375,157.31367
547,-14,-0.55927014,33.74907
548,-46,-6.6689916,521.928
549,-50,-7.5130463,528.81836
550,-50,-7.2363625,528.84436
551,-30,-2.6887007,134.58893
552,-36,-7.133034,272.23526
553,-50,-11.084435,528.8183
554,-48,-7.7401476,526.31714
555,-34,-5.176839,219.54431
556,-44,-8.391928,512.74634
557,-50,-10.482595,528.1086
558,-34,-3.3456821,189.94727
559,-50,-10.943069,528.4021
560,-44,-7.1259813,363.59
561,-50,-9.161164,527.64594
562,-28,-1.6489918,126.80082
563,-50,-7.047422,527.9071
564,-40,-3.5948567,490.03186
565,-38,-4.1747627,475.93225
566,-30,-3.4242508,160.38383
567,-34,-3.3663695,189.39825
568,-50,-4.182664,528.776
569,-40,-11.383714,489.26495
570,-24,-4.044698,345.6871
571,-28,-6.727659,385.66348
572,-44,-4.7776923,362.0707
573,-50,-9.319707,527.4531
574,-32,-3.125581,165.01973
575,-50,-7.174182,527.2761
576,-50,-9.741074,527.2379
577,-38,-2.2153883,475.24582
578,-42,-3.9598134,501.17834
579,-20,-1.7483289,59.88089
580,-50,-8.680277,527.2648
581,-50,-8.950863,526.85803
582,-50,-6.380801,526.7602
583,-50,-5.643784,526.4689
584,-50,-3.8621767,526.40436
585,-50,-3.1332452,526.08905
586,-28,-1.6665385,126.46735
587,-20,-5.1598306,302.81094
588,-38,-3.9690406,234.67297
589,-48,-3.8517575,524.3975
590,-50,-9.107689,526.24963
591,-18,-0.9279375,48.26034
592,-36,-8.554058,458.4975
593,-26,-0.85649216,112.30351
594,-36,-5.396103,458.24652
595,-50,-5.72693,525.702
596,-30,-3.4613378,152.31276
597,-32,-2.9913921,174.15881
598,-50,-5.190542,525.7286
599,-38,-2.9283679,236.3416
600,-50,-3.8533285,525.9206
601,-32,-1.2662112,163.94717
602,-40,-6.159947,441.32816
603,-24,-1.603506,343.7771
604,-50,-3.8880894,525.19916
605,-50,-7.051735,525.0348
606,-22,-4.110126,322.88168
607,-50,-6.560921,524.8826
608,-34,-2.6070151,441.00018
609,-26,-0.7214889,111.99697
